season_id,team_name,team_id,player_name,player_id,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,OEPM,DEPM,EPM,PLUS,Poss,player_PLUS_per_Poss,team_Poss,team_PLUS,team_PLUS_per_Poss,RAPM,pRAPM,RAPM_abs_diff
2050,Goucher,997,Rodger Everett,224694,College,44,44,3.658,0.0,29.091,0.0,0.0,32.726,3.8,0.1,3.9,3.338,65.513,0.051,81.009,1.5776,0.0194,3.1,2.4,0.7
2050,Goucher,997,Keith Cunningham,227890,College,43,43,0.278,0.0,0.0,30.048,0.0,30.372,1.2,1.9,3.1,1.116,60.57,0.018,81.009,1.5776,0.0194,2.0,1.2,0.8
2050,Goucher,997,Barry Bush,227019,College,45,45,0.0,0.0,0.0,0.0,25.865,25.865,1.2,-2.9,-1.7,2.599,51.738,0.05,81.009,1.5776,0.0194,0.4,2.0,1.6
2050,Goucher,997,Drew Maddox,224024,College,45,45,4.109,26.979,0.0,0.0,0.0,31.199,2.5,0.4,2.8,-0.023,62.459,0.0,81.009,1.5776,0.0194,-2.4,0.5,2.9
2050,Goucher,997,Marv Monk,227310,College,45,45,32.067,0.0,0.0,0.0,0.0,32.067,2.9,-0.8,2.1,3.843,64.006,0.06,81.009,1.5776,0.0194,4.8,2.6,2.2
2050,Goucher,997,Jason Jonsson,223993,College,2,44,0.0,0.0,0.0,10.749,0.454,11.181,0.1,-0.5,-0.4,1.75,22.417,0.078,81.009,1.5776,0.0194,-0.2,3.1,3.3
2050,Goucher,997,Josue DeLeon,240548,College,0,45,0.0,0.0,0.0,0.666,14.133,14.822,-0.6,-1.7,-2.3,-2.0,29.869,-0.067,81.009,1.5776,0.0194,-3.1,-2.1,1.0
2050,Goucher,997,Bill Freed,237183,College,1,45,0.311,6.269,11.599,0.0,0.0,18.111,1.5,-0.6,0.9,-0.134,36.443,-0.004,81.009,1.5776,0.0194,-1.3,0.3,1.6
2050,Manhattan,250,Cal Burnett ,228500,College,39,39,0.0,0.0,29.13,0.154,0.692,29.95,1.3,-8.0,-6.7,-12.461,65.972,-0.189,88.116,-13.1712,-0.1494,-5.5,-3.4,2.1
2050,Manhattan,250,Otis Hutchins,227753,College,41,41,0.171,1.098,0.0,27.195,0.463,28.925,-0.4,-3.7,-4.1,-8.341,63.655,-0.131,88.116,-13.1712,-0.1494,-0.5,-1.2,0.7
2050,Manhattan,250,Jeremy Frost,227548,College,37,37,0.0,0.136,0.162,0.081,31.728,32.134,0.8,-0.4,0.4,-10.08,70.088,-0.144,88.116,-13.1712,-0.1494,0.6,-1.4,2.0
2050,Manhattan,250,Stephen Wu ,224732,College,36,41,0.0,30.854,0.632,0.0,0.0,31.488,1.6,-1.1,0.5,-10.584,68.691,-0.154,88.116,-13.1712,-0.1494,-4.2,-1.8,2.4
2050,Manhattan,250,Todd Cole,235365,College,0,41,9.928,2.05,1.609,0.073,0.0,13.733,-2.7,-3.0,-5.7,-5.708,30.166,-0.189,88.116,-13.1712,-0.1494,-1.4,-3.3,1.9
2050,Manhattan,250,Adonis Emerson,235279,College,4,40,0.0,0.475,1.849,0.0,10.3,12.675,0.3,-7.1,-6.8,-4.375,28.248,-0.155,88.116,-13.1712,-0.1494,-3.0,-2.2,0.8
2050,Manhattan,250,Lenny Yancey,231080,College,36,40,26.751,0.75,0.024,0.0,0.0,27.474,0.6,-3.4,-2.7,-7.326,59.788,-0.123,88.116,-13.1712,-0.1494,-3.4,-0.8,2.6
2050,Manhattan,250,Arnie Storey,225901,College,2,41,0.0,0.146,6.34,12.17,0.341,19.027,1.9,-3.2,-1.3,-5.195,41.608,-0.125,88.116,-13.1712,-0.1494,-1.3,-0.8,0.5
2050,Michigan,7,Sandy Yancey,221094,College,38,38,0.422,0.0,30.526,1.054,0.0,31.947,0.8,3.0,3.8,0.526,58.601,0.009,73.803,-1.7802,-0.0242,4.4,1.7,2.7
2050,Michigan,7,Damian Mayes,221640,College,41,41,0.0,0.219,0.0,28.318,2.609,31.146,0.5,0.6,1.1,-0.073,57.377,-0.001,73.803,-1.7802,-0.0242,2.9,1.2,1.7
2050,Michigan,7,Erik Baker,231700,College,40,41,0.0,0.122,0.022,0.17,23.486,23.805,0.5,-1.7,-1.2,0.22,43.768,0.005,73.803,-1.7802,-0.0242,1.3,1.3,0.0
2050,Michigan,7,Gabriel Jin,224107,College,17,41,7.853,13.122,1.78,0.022,0.0,22.731,0.0,-1.3,-1.3,-2.804,41.769,-0.067,73.803,-1.7802,-0.0242,-2.7,-1.2,1.5
