,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
580,71.0,145,73.25,30.5,6,16,9,12,9,5,10,8,12,15,10,12,10,16,11,14.298,5.075,12.225,0.486,1.725,5.174,0.333,3.35,7.05,0.475,2.426,3.051,0.795,1.174,2.425,3.599,2.998,0.373,0.05,4.199,3.026,-15.95,13.857,2.899,2.4,2.85,1.074,1.726,0.622,0.376,0.876,0.429,1.899,4.452,0.427,54.772,55.277,10.974,4.55,10.151,0.541,1.875,4.925,0.381,2.675,5.225,0.512,0.925,1.126,0.821,0.525,0.749,0.701,1.226,3.35,0.366,-1.3,0.0,-1.3,0.527,0.423,0.25,4.5,9.1,6.9,25.8,0.7,0.2,23.6,29.6
581,74.5,185,79.0,34.0,4,10,13,9,10,7,11,17,14,12,11,8,13,4,12,2.863,0.978,2.347,0.491,0.349,1.257,0.278,0.626,1.093,0.573,0.558,0.883,0.632,0.277,0.677,0.954,2.651,0.535,0.069,1.487,0.862,3.163,8.379,1.07,1.094,0.978,0.372,0.443,0.84,0.163,0.207,0.787,0.094,0.442,0.213,20.454,20.532,3.629,1.488,3.674,0.494,0.651,1.885,0.345,0.837,1.791,0.467,0.301,0.349,0.862,0.069,0.325,0.212,0.465,1.116,0.417,0.4,0.4,0.9,0.523,0.536,0.376,3.0,7.1,5.1,35.1,2.6,0.7,35.2,18.2
582,71.0,175,77.0,27.0,7,16,12,12,5,6,14,11,10,11,9,14,10,12,10,17.857,6.341,16.367,0.493,3.464,10.611,0.326,2.877,5.757,0.5,1.708,2.292,0.745,0.902,1.488,2.39,3.827,1.318,0.05,4.219,2.755,-8.683,16.404,2.34,2.462,2.145,0.73,0.878,0.831,0.439,1.17,0.375,1.708,3.706,0.461,58.503,58.362,10.049,4.149,10.318,0.487,1.756,5.684,0.309,2.392,4.635,0.516,0.999,1.025,0.975,0.585,0.878,0.666,0.805,2.73,0.295,-0.1,0.2,0.1,0.514,0.648,0.14,3.2,5.4,4.3,25.7,2.3,0.1,19.5,33.4
583,73.5,205,80.0,35.0,11,7,15,5,8,7,10,13,17,17,8,6,19,12,11,11.389,4.112,8.61,0.529,0.89,2.611,0.341,3.222,6.001,0.537,2.278,3.889,0.586,0.639,2.222,2.861,7.0,1.89,0.223,2.972,1.834,6.362,9.233,4.332,3.418,3.165,1.805,2.609,0.692,0.36,0.556,0.647,1.057,2.834,0.373,56.503,56.92,10.224,4.168,10.055,0.509,1.892,5.639,0.336,2.278,4.418,0.516,0.778,1.028,0.757,0.22,0.472,0.466,1.278,2.916,0.438,2.4,0.6,3.0,0.552,0.303,0.452,2.7,8.3,5.7,38.4,3.4,0.8,22.4,22.0
584,77.0,190,84.0,36.0,9,12,6,10,7,9,10,9,15,12,11,11,8,14,11,3.824,1.353,3.175,0.5,0.472,1.382,0.342,0.884,1.795,0.492,0.645,0.794,0.812,0.234,0.795,1.029,1.676,0.324,0.088,1.059,0.884,0.942,12.798,0.939,1.001,0.883,0.382,0.528,0.723,0.088,0.234,0.376,0.411,1.029,0.399,21.183,21.066,2.588,1.086,2.824,0.458,0.413,1.117,0.37,0.676,1.704,0.397,0.234,0.323,0.724,0.146,0.383,0.381,0.294,1.001,0.294,-0.2,2.3,2.0,0.543,0.435,0.25,2.4,8.8,5.4,24.5,1.5,0.7,23.1,19.3
585,74.0,195,74.0,41.0,5,11,17,10,11,9,13,6,12,17,17,10,15,14,12,19.047,6.413,13.902,0.537,2.098,5.267,0.398,4.317,8.633,0.5,4.123,5.171,0.797,1.099,2.388,3.487,4.536,2.001,0.17,3.39,2.854,9.928,12.341,4.976,4.367,4.0,2.026,3.318,0.611,0.463,0.855,0.542,1.828,4.463,0.41,58.122,57.752,9.634,4.049,8.755,0.55,1.538,3.731,0.412,2.511,5.025,0.5,0.878,1.121,0.783,0.39,0.635,0.614,1.245,3.267,0.381,2.3,0.8,3.1,0.589,0.379,0.372,4.0,9.4,6.6,28.1,3.5,0.6,17.3,30.1
586,75.0,200,82.0,27.0,8,9,9,14,8,7,14,12,19,13,8,8,13,7,10,9.5,3.285,8.143,0.491,1.429,3.785,0.378,1.857,4.357,0.426,1.5,2.143,0.7,0.451,1.55,2.001,5.047,0.953,0.143,2.857,2.166,1.952,14.569,1.762,1.716,1.858,0.618,0.857,0.721,0.263,0.667,0.394,0.978,2.832,0.345,48.49,48.341,6.524,2.738,7.595,0.429,1.048,3.976,0.264,1.691,3.619,0.467,0.571,0.737,0.775,0.238,0.524,0.454,0.88,2.356,0.374,0.6,1.8,2.5,0.523,0.465,0.263,2.1,6.4,4.4,31.7,2.0,0.6,23.9,22.1
587,75.5,230,76.25,39.5,7,6,16,16,14,5,5,18,9,18,17,5,15,11,12,12.373,4.349,8.885,0.546,1.001,2.465,0.406,3.349,6.418,0.522,2.674,4.699,0.569,0.908,2.534,3.442,5.581,1.069,0.092,2.999,2.814,6.557,8.761,4.603,3.954,3.487,2.138,2.652,0.806,0.163,0.324,0.503,1.046,3.441,0.304,54.753,54.929,10.372,4.395,9.511,0.545,1.585,4.861,0.326,2.814,4.65,0.605,0.975,1.209,0.806,0.513,0.744,0.69,1.325,2.697,0.491,1.8,0.4,2.2,0.565,0.277,0.529,3.7,10.2,6.9,29.7,1.9,0.3,21.5,22.9
588,72.5,210,74.0,29.5,11,13,14,8,8,10,8,7,12,16,15,11,18,8,11,18.476,6.574,13.618,0.541,1.596,4.166,0.383,4.976,9.451,0.527,3.738,5.143,0.727,0.619,2.237,2.856,4.857,0.977,0.047,3.642,2.642,7.286,11.874,5.476,2.239,3.904,2.404,3.474,0.692,0.333,0.619,0.538,2.239,5.358,0.418,60.656,61.065,11.215,4.595,10.691,0.524,2.023,5.572,0.363,2.572,5.118,0.503,0.953,1.358,0.702,0.477,0.761,0.627,1.142,3.0,0.381,1.8,0.2,1.9,0.582,0.306,0.378,2.1,8.2,5.0,29.7,1.6,0.2,18.7,29.3
589,74.5,195,79.0,28.0,10,7,7,7,8,7,9,10,14,10,11,6,18,10,10,11.474,4.427,8.775,0.512,0.125,0.426,0.293,4.3,8.35,0.515,2.498,4.15,0.602,0.951,1.974,2.925,5.899,1.601,0.251,3.476,2.599,10.723,8.66,4.152,2.549,3.175,1.352,1.824,0.741,0.725,1.125,0.644,2.226,5.4,0.412,61.022,60.835,9.7,3.951,9.8,0.495,1.798,5.524,0.325,2.149,4.274,0.503,0.751,0.849,0.885,0.299,0.474,0.631,1.098,2.951,0.372,0.6,0.9,1.4,0.541,0.049,0.473,3.4,7.3,5.3,27.6,2.6,0.8,24.7,20.4
