,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
1473,78.5,220,82.0,27.0,14,9,7,7,12,7,9,14,5,7,8,7,7,4,11,5.95,2.375,4.202,0.574,0.075,0.175,0.429,2.301,4.025,0.572,1.125,1.675,0.672,1.124,3.551,4.675,0.299,0.15,0.5,1.049,1.675,-0.274,4.642,4.299,0.075,1.326,0.024,0.05,0.48,2.126,3.675,0.579,0.15,0.299,0.502,31.175,30.938,5.55,2.701,4.875,0.569,0.15,0.348,0.431,2.55,4.526,0.563,0.249,0.326,0.764,2.225,4.074,0.546,0.075,0.125,0.6,-0.4,-0.6,-1.0,0.602,0.042,0.399,8.3,25.1,16.9,3.0,0.5,2.8,17.5,17.5
1474,74.5,195,79.0,30.5,11,12,9,7,9,7,6,15,9,8,8,11,5,8,11,6.75,2.601,5.697,0.481,0.275,0.5,0.55,2.325,5.201,0.447,1.275,2.05,0.622,1.249,3.827,5.076,0.801,0.625,0.198,1.599,2.674,-16.451,7.669,4.001,0.0,1.675,0.0,0.051,0.0,2.001,4.176,0.479,0.323,0.974,0.332,49.223,48.651,11.751,5.698,7.977,0.736,0.351,0.751,0.467,5.349,7.227,0.74,0.349,0.575,0.607,4.552,5.875,0.775,0.449,0.776,0.579,-2.1,-4.7,-6.8,0.511,0.088,0.36,5.4,20.1,12.0,5.2,1.3,0.7,19.5,15.0
1475,80.5,250,84.0,29.5,11,9,9,6,11,10,7,11,7,10,8,9,10,10,12,7.263,2.595,5.596,0.485,0.239,0.5,0.478,2.357,5.096,0.463,1.832,2.524,0.726,1.284,4.311,5.595,0.476,0.358,0.571,1.191,1.762,3.881,7.055,3.812,0.143,2.264,0.021,0.049,0.429,1.881,4.166,0.452,0.451,0.882,0.511,39.578,40.126,6.787,3.309,6.238,0.544,0.167,0.547,0.305,3.143,5.691,0.552,0.237,0.379,0.625,2.62,4.691,0.559,0.286,0.62,0.461,-0.6,-0.5,-1.0,0.541,0.089,0.451,7.2,24.1,15.7,3.5,0.9,2.8,15.1,18.0
1476,81.5,220,85.25,30.5,13,10,10,5,8,5,8,8,9,9,7,12,7,9,10,12.827,5.074,8.575,0.6,0.149,0.549,0.271,4.925,8.025,0.614,2.526,3.724,0.678,2.199,5.526,7.725,0.551,0.5,0.649,1.449,2.85,4.448,3.849,9.451,0.051,2.65,0.0,0.023,0.0,4.726,7.549,0.626,0.2,0.452,0.442,52.185,51.978,10.427,5.15,9.274,0.562,0.125,0.55,0.227,5.026,8.725,0.576,0.326,0.45,0.724,4.451,7.673,0.58,0.249,0.6,0.415,1.5,-1.3,0.2,0.628,0.064,0.434,9.2,23.7,16.4,3.4,1.0,2.1,12.4,20.0
1477,80.5,230,81.0,23.5,10,9,10,8,12,11,8,16,5,10,7,8,10,11,13,9.512,3.78,7.317,0.518,0.023,0.244,0.094,3.756,7.072,0.531,1.927,3.098,0.622,2.122,5.585,7.707,0.441,0.878,0.488,1.829,2.976,-4.389,3.362,7.367,0.096,2.584,0.049,0.073,0.671,3.634,6.73,0.54,0.073,0.269,0.271,50.85,50.733,9.124,4.465,7.584,0.602,0.195,0.586,0.333,4.269,7.0,0.61,0.146,0.365,0.4,3.685,5.9,0.625,0.438,0.732,0.598,-0.9,-1.0,-1.9,0.548,0.033,0.423,8.8,24.3,16.4,3.1,1.7,1.8,17.4,18.5
1478,84.0,235,85.25,36.0,9,8,12,10,11,14,11,13,4,7,7,8,11,7,11,7.068,2.691,4.977,0.556,0.155,0.466,0.333,2.533,4.511,0.562,1.534,2.333,0.658,1.489,4.132,5.621,0.288,0.623,1.111,1.112,1.822,0.867,5.052,4.621,0.088,1.732,0.021,0.021,1.0,2.29,4.0,0.573,0.222,0.49,0.453,35.239,35.283,5.599,2.755,5.646,0.496,0.088,0.332,0.265,2.669,5.31,0.503,0.267,0.425,0.628,2.243,4.578,0.49,0.156,0.311,0.502,0.0,0.6,0.6,0.589,0.094,0.469,8.8,26.0,17.1,2.8,1.8,6.0,15.6,18.2
1479,79.0,210,83.0,31.0,10,8,12,8,7,10,11,10,8,8,6,7,12,12,11,4.298,1.785,3.459,0.544,0.191,0.459,0.416,1.594,2.998,0.532,0.54,0.812,0.665,0.783,2.162,2.945,0.703,0.406,0.487,1.189,1.732,-0.134,7.117,2.863,0.108,0.838,0.053,0.053,1.0,1.378,2.648,0.52,0.162,0.298,0.544,30.054,29.731,5.54,2.676,5.164,0.537,0.19,0.595,0.319,2.486,4.568,0.544,0.162,0.298,0.544,2.216,3.838,0.577,0.108,0.432,0.25,-1.9,-2.1,-4.0,0.563,0.133,0.235,5.8,15.9,10.9,7.3,1.4,3.0,23.8,15.2
1480,80.0,220,85.0,28.5,10,13,6,7,13,12,10,15,7,9,10,15,8,6,12,10.4,4.311,8.824,0.501,0.222,0.667,0.333,4.089,8.155,0.501,1.557,2.576,0.604,2.313,7.774,10.087,1.132,1.18,1.355,1.757,2.533,12.868,5.693,6.532,0.0,2.335,0.067,0.089,0.753,3.2,6.31,0.507,0.822,1.757,0.468,61.31,61.47,9.734,4.822,10.489,0.464,0.089,0.31,0.287,4.733,10.179,0.465,0.558,0.978,0.571,4.112,8.978,0.458,0.066,0.222,0.297,-0.7,1.3,0.6,0.522,0.076,0.292,8.4,26.0,17.6,5.3,1.9,4.1,15.0,17.1
1481,76.0,210,83.0,26.0,6,12,12,7,8,7,9,14,10,11,12,13,5,13,12,6.903,2.78,5.879,0.489,0.194,0.95,0.204,2.584,4.927,0.524,1.146,1.78,0.644,1.342,5.926,7.268,0.659,0.878,0.121,1.83,2.612,-6.512,6.93,4.099,0.0,2.099,0.047,0.047,1.0,1.999,3.879,0.515,0.535,1.0,0.535,54.145,54.221,9.927,4.855,8.707,0.57,0.219,0.632,0.347,4.635,8.07,0.574,0.365,0.489,0.746,3.902,6.584,0.593,0.366,0.998,0.367,-2.4,-0.8,-3.2,0.518,0.162,0.303,5.4,24.5,14.8,3.8,1.6,0.4,21.5,14.2
1482,76.5,200,78.0,25.0,12,13,12,11,12,5,7,8,6,5,12,14,11,14,13,12.462,4.609,9.608,0.508,0.538,1.221,0.441,4.073,8.391,0.485,2.706,3.584,0.755,2.099,5.827,7.926,0.246,0.976,0.074,1.709,2.95,-3.438,7.169,6.928,0.05,2.633,0.023,0.05,0.46,3.44,6.978,0.493,0.611,1.365,0.448,60.7,60.976,11.561,5.61,9.83,0.588,0.341,1.171,0.291,5.269,8.659,0.608,0.244,0.439,0.556,4.682,7.293,0.642,0.341,0.928,0.367,-0.4,-1.7,-2.1,0.557,0.127,0.373,7.6,20.9,14.3,1.4,1.6,0.2,13.3,18.9
1483,81.5,215,88.25,31.0,10,11,8,6,9,7,5,10,9,6,6,11,10,11,10,12.099,4.925,9.3,0.538,0.15,0.75,0.2,4.775,8.551,0.558,2.1,3.0,0.7,2.325,6.701,9.026,0.425,0.425,1.3,1.199,2.422,3.226,3.882,8.849,0.099,2.75,0.023,0.023,1.0,4.4,7.725,0.57,0.35,0.801,0.437,56.807,56.671,9.802,4.824,9.574,0.512,0.15,0.4,0.375,4.676,9.175,0.51,0.224,0.623,0.36,4.2,7.924,0.53,0.251,0.623,0.403,0.8,0.2,1.0,0.57,0.081,0.323,8.6,25.7,17.0,2.4,0.7,4.0,10.1,18.6
1484,80.0,220,82.25,28.0,7,14,9,7,10,5,5,13,5,10,7,13,10,10,10,10.683,3.867,8.393,0.525,1.08,2.736,0.395,2.788,5.658,0.493,1.87,2.421,0.772,1.841,4.999,6.84,0.501,1.001,0.446,1.262,2.131,0.527,11.22,3.422,0.0,2.08,0.079,0.079,1.0,1.633,3.447,0.474,1.079,2.131,0.506,51.601,51.487,9.526,4.711,8.66,0.55,0.105,0.606,0.173,4.607,8.052,0.572,0.421,0.657,0.641,3.842,6.736,0.57,0.344,0.657,0.524,0.2,-1.2,-0.9,0.565,0.326,0.288,7.7,21.9,14.7,2.9,1.9,1.5,11.8,18.6
1485,80.0,245,88.0,27.5,5,6,10,3,11,4,7,8,5,8,8,7,2,6,11,4.425,1.701,3.25,0.578,0.352,0.8,0.44,1.35,2.449,0.551,0.676,1.326,0.51,1.85,5.825,7.675,0.826,0.25,0.774,1.501,2.25,-3.5,7.445,2.501,0.0,1.623,0.075,0.075,1.0,1.15,2.05,0.561,0.099,0.323,0.307,45.997,46.214,8.726,4.252,8.125,0.537,0.224,0.65,0.345,4.026,7.477,0.538,0.325,0.525,0.619,3.25,6.2,0.524,0.451,0.751,0.601,-1.7,-0.1,-1.7,0.577,0.246,0.408,8.4,25.9,17.2,5.3,0.5,2.9,28.1,10.3
1486,78.0,185,82.0,28.0,11,12,11,8,6,5,8,11,6,9,5,11,6,5,11,11.387,4.128,9.103,0.479,0.461,1.053,0.438,3.665,8.05,0.455,2.665,3.717,0.717,1.41,5.257,6.667,0.461,0.283,0.205,1.359,2.536,-6.897,6.873,6.051,0.0,2.975,0.0,0.0,,3.026,6.411,0.472,0.641,1.641,0.391,55.019,54.904,10.591,5.23,9.232,0.573,0.128,0.795,0.161,5.102,8.437,0.605,0.281,0.538,0.522,4.563,7.128,0.64,0.256,0.769,0.333,-0.2,-1.7,-1.9,0.53,0.116,0.408,5.6,21.2,13.3,3.0,0.5,0.6,11.2,20.3
1487,84.5,230,85.0,34.5,15,8,13,5,9,7,8,11,6,6,10,10,9,5,11,16.096,6.309,10.429,0.606,0.023,0.071,0.324,6.286,10.357,0.607,3.452,4.928,0.7,1.405,5.309,6.714,0.31,0.57,1.761,1.785,2.905,6.072,3.206,12.142,0.049,3.404,0.021,0.048,0.438,6.046,9.834,0.615,0.215,0.476,0.452,51.64,51.524,8.142,4.0,8.857,0.46,0.143,0.738,0.194,3.857,8.119,0.475,0.335,0.475,0.705,3.262,6.976,0.468,0.263,0.665,0.395,1.7,0.3,2.0,0.639,0.007,0.473,6.3,22.9,14.7,2.2,1.1,6.3,12.4,25.2
1488,80.5,205,87.25,32.5,12,7,9,11,12,6,9,11,5,6,5,6,16,6,12,11.171,4.561,8.121,0.577,0.244,0.634,0.385,4.319,7.489,0.577,1.805,3.0,0.602,1.488,5.952,7.44,0.196,0.927,0.733,0.952,2.049,1.293,5.927,7.707,0.0,2.539,0.0,0.023,0.0,3.854,6.61,0.583,0.462,0.853,0.542,49.203,49.104,8.584,4.195,7.365,0.583,0.193,0.489,0.395,4.0,6.879,0.581,0.194,0.365,0.532,3.708,6.024,0.616,0.098,0.489,0.2,0.9,-0.3,0.7,0.592,0.078,0.369,6.6,27.0,16.6,1.3,1.9,2.8,9.2,19.3
1489,81.5,250,87.0,24.0,12,10,11,5,9,10,9,17,12,9,8,12,14,10,12,9.658,3.706,7.267,0.523,0.193,0.706,0.273,3.512,6.561,0.535,2.049,2.854,0.718,1.658,6.804,8.462,1.048,0.438,2.243,1.416,2.707,-3.316,4.331,6.584,0.0,2.536,0.049,0.073,0.671,3.243,5.707,0.568,0.22,0.78,0.282,60.534,60.558,11.682,5.707,12.244,0.477,0.268,0.464,0.578,5.44,11.781,0.462,0.731,1.146,0.638,4.583,10.318,0.444,0.121,0.316,0.383,-0.3,-0.2,-0.5,0.567,0.097,0.393,5.9,23.1,14.7,5.5,0.7,6.1,14.2,14.9
1490,82.0,230,84.0,33.0,5,10,10,7,10,9,7,6,4,5,4,10,9,7,11,4.116,1.768,3.0,0.601,0.069,0.208,0.332,1.698,2.789,0.609,0.512,0.697,0.735,0.79,3.164,3.954,0.209,0.256,0.791,0.998,1.604,0.814,4.166,3.022,0.048,1.07,0.021,0.048,0.438,1.489,2.301,0.647,0.186,0.442,0.421,31.787,31.867,4.884,2.42,5.163,0.473,0.048,0.325,0.148,2.371,4.837,0.49,0.232,0.488,0.475,1.953,3.975,0.491,0.185,0.372,0.497,-1.6,0.1,-1.5,0.622,0.069,0.232,5.1,22.0,13.2,2.1,0.8,4.7,23.2,12.1
1491,81.0,225,84.0,25.0,16,11,11,10,13,12,8,11,4,6,7,10,13,9,13,14.828,5.731,11.416,0.523,0.488,1.462,0.334,5.244,9.952,0.527,2.878,3.731,0.771,1.902,5.999,7.901,0.244,0.925,1.244,1.807,3.122,-4.074,6.276,9.368,0.05,2.463,0.022,0.05,0.44,4.66,8.316,0.56,0.559,1.585,0.353,50.116,50.157,9.146,4.487,8.999,0.508,0.171,0.439,0.39,4.318,8.56,0.504,0.512,0.707,0.724,3.44,6.927,0.497,0.366,0.928,0.394,0.7,0.1,0.8,0.568,0.128,0.327,8.1,26.6,17.1,1.9,1.8,4.4,12.2,26.3
