,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,84.0,270,84.0,31.5,8,13,7,12,14,14,5,11,8,7,10,14,9,13,10,16.899,6.452,11.701,0.562,0.249,0.75,0.332,6.201,10.952,0.566,3.749,4.876,0.769,2.525,9.224,11.749,0.475,0.724,2.025,1.65,2.225,6.0,3.514,12.149,0.15,3.75,0.023,0.051,0.451,6.049,10.474,0.578,0.125,0.426,0.293,60.941,60.804,7.925,3.825,9.274,0.427,0.275,0.648,0.424,3.55,8.625,0.412,0.35,0.924,0.379,2.827,7.026,0.402,0.376,0.677,0.555,1.9,3.1,5.0,0.61,0.064,0.417,8.8,32.0,20.4,2.9,1.2,6.0,10.6,22.9
1,79.5,235,82.0,29.0,8,12,9,10,12,9,13,9,11,6,15,13,6,15,11,8.17,3.097,7.023,0.45,0.122,0.488,0.25,2.978,6.537,0.456,1.854,2.291,0.809,1.779,6.758,8.537,0.951,0.756,1.512,1.559,2.879,2.049,5.56,4.828,0.0,2.123,0.05,0.096,0.521,2.367,5.367,0.441,0.561,1.072,0.523,51.163,50.814,7.902,3.831,8.536,0.463,0.246,0.442,0.557,3.583,8.099,0.442,0.317,0.512,0.619,3.147,7.267,0.433,0.121,0.318,0.381,-1.1,1.6,0.5,0.509,0.069,0.326,7.7,29.1,18.4,5.9,1.5,5.6,16.3,16.9
2,80.0,235,83.0,24.5,17,6,14,14,9,16,11,7,16,8,13,6,11,13,11,14.882,5.913,10.0,0.594,0.059,0.117,0.504,5.852,9.883,0.592,3.0,4.559,0.658,1.676,5.324,7.0,0.736,1.03,0.823,1.236,2.471,1.146,3.967,11.353,0.059,3.206,0.117,0.206,0.568,5.559,9.443,0.589,0.177,0.235,0.753,49.889,50.695,7.999,3.883,7.764,0.515,0.236,0.412,0.573,3.648,7.352,0.496,0.323,0.499,0.647,3.176,6.383,0.498,0.146,0.47,0.311,2.6,0.0,2.6,0.62,0.012,0.456,7.9,23.0,15.8,5.8,2.0,3.1,9.3,24.5
3,82.0,200,83.0,30.5,10,18,15,9,8,12,9,10,10,7,10,19,11,11,11,11.965,4.607,9.072,0.555,0.856,2.607,0.328,3.749,6.464,0.58,1.893,2.571,0.736,1.143,3.785,4.928,0.786,0.75,0.322,1.071,1.678,7.464,8.966,5.929,0.0,2.179,0.035,0.035,1.0,2.931,5.0,0.586,0.786,1.429,0.55,45.808,45.698,8.358,4.035,6.821,0.612,0.285,0.641,0.445,3.75,6.178,0.607,0.249,0.358,0.696,3.177,5.143,0.618,0.322,0.679,0.474,1.5,-2.3,-0.8,0.586,0.287,0.283,5.7,18.4,12.2,5.6,1.7,1.4,9.5,22.4
4,80.0,235,86.25,28.5,14,11,10,9,9,14,4,12,12,12,5,12,8,9,11,16.453,6.407,11.252,0.57,0.021,0.044,0.477,6.386,11.208,0.57,3.615,4.751,0.761,1.5,5.978,7.478,0.701,1.0,1.501,1.613,2.59,6.909,3.44,12.137,0.0,3.409,0.021,0.047,0.447,6.045,10.5,0.576,0.317,0.658,0.482,50.341,50.637,7.296,3.567,7.75,0.471,0.159,0.478,0.333,3.41,7.273,0.469,0.364,0.637,0.571,2.817,6.136,0.459,0.226,0.501,0.451,2.4,1.2,3.5,0.617,0.004,0.422,6.8,26.3,16.7,5.0,2.0,5.9,10.8,26.5
5,79.5,230,82.25,31.5,6,13,16,12,17,6,6,15,6,13,5,16,9,9,11,11.214,4.048,8.834,0.549,1.596,4.048,0.394,2.454,4.786,0.513,1.523,2.025,0.752,2.31,6.998,9.308,0.501,0.43,1.143,0.977,2.74,3.738,11.229,3.619,0.094,1.784,0.022,0.022,1.0,1.787,3.214,0.556,0.642,1.548,0.415,57.064,56.913,10.523,5.165,9.856,0.534,0.189,0.452,0.418,4.977,9.406,0.529,0.451,0.594,0.759,4.31,8.427,0.511,0.215,0.381,0.564,0.7,-0.1,0.7,0.577,0.458,0.229,8.4,26.3,17.2,2.7,0.8,3.6,9.1,16.6
6,81.0,225,86.0,33.0,13,12,14,10,8,15,9,9,8,8,9,12,3,13,12,15.512,6.365,11.002,0.595,0.365,0.854,0.427,5.999,10.146,0.591,2.415,3.682,0.656,1.827,5.466,7.293,0.389,1.025,1.757,1.341,2.608,4.195,4.963,11.171,0.0,2.706,0.074,0.074,1.0,5.512,9.292,0.593,0.414,0.78,0.531,55.777,56.058,7.611,3.706,9.245,0.411,0.195,0.854,0.228,3.511,8.391,0.418,0.266,0.462,0.576,2.902,7.073,0.41,0.341,0.853,0.4,1.7,1.0,2.7,0.614,0.078,0.335,7.5,21.3,14.6,2.4,1.8,5.9,9.6,22.5
7,82.0,230,89.0,28.0,15,12,8,6,17,11,12,12,9,12,13,13,13,14,12,18.099,7.172,12.439,0.577,0.022,0.073,0.301,7.146,12.367,0.578,3.733,5.367,0.696,2.538,9.046,11.584,0.856,1.293,1.024,1.608,2.658,-4.66,3.549,13.61,0.097,3.78,0.438,0.684,0.64,6.317,10.852,0.582,0.341,0.828,0.412,53.486,53.904,7.609,3.706,7.808,0.487,0.195,0.512,0.381,3.512,7.293,0.482,0.365,0.732,0.499,2.903,5.951,0.488,0.244,0.61,0.4,3.3,3.1,6.4,0.611,0.006,0.431,11.2,39.2,25.3,7.3,2.4,3.3,9.8,28.1
8,79.5,220,85.0,30.0,15,13,7,10,9,9,11,15,9,12,11,14,7,7,11,15.976,6.246,10.998,0.573,0.11,0.356,0.309,6.134,10.645,0.576,3.378,4.734,0.714,1.933,6.422,8.355,0.822,0.89,0.932,1.288,2.711,9.378,4.405,10.843,0.134,3.288,0.2,0.266,0.752,5.2,8.756,0.594,0.712,1.623,0.439,55.498,55.528,8.888,4.356,8.378,0.531,0.178,0.666,0.267,4.178,7.711,0.542,0.6,0.798,0.752,3.356,6.378,0.526,0.223,0.535,0.417,2.5,0.2,2.7,0.611,0.032,0.43,7.6,24.1,16.1,4.9,1.6,3.1,9.0,23.2
9,79.0,220,84.0,27.5,15,11,12,5,13,8,13,10,4,11,13,12,4,8,10,14.094,5.469,10.344,0.529,0.0,0.0,,5.469,10.344,0.529,3.157,3.875,0.815,2.03,7.094,9.124,0.282,0.657,0.593,2.22,2.905,6.532,4.428,10.062,0.188,3.094,0.031,0.093,0.333,5.0,9.406,0.532,0.439,0.844,0.52,52.231,52.775,9.157,4.374,8.343,0.549,0.407,0.625,0.651,3.968,7.719,0.514,0.72,0.905,0.796,3.03,6.312,0.48,0.218,0.501,0.435,0.1,0.5,0.6,0.585,0.0,0.375,9.7,27.6,19.6,1.7,1.3,2.1,15.6,24.6
10,82.5,220,84.0,25.0,14,8,12,12,16,10,6,7,6,3,9,8,13,12,11,17.135,7.228,11.454,0.631,0.0,0.0,,7.228,11.454,0.631,2.683,4.862,0.552,2.296,9.317,11.613,0.25,0.819,1.477,1.635,3.022,6.798,3.424,14.044,0.136,3.795,0.069,0.069,1.0,6.955,11.0,0.632,0.204,0.386,0.528,62.651,62.991,10.089,4.977,10.297,0.49,0.137,0.409,0.335,4.841,9.886,0.49,0.318,0.705,0.451,4.295,8.657,0.496,0.227,0.523,0.434,1.8,1.9,3.6,0.63,0.0,0.424,7.9,31.4,19.8,1.3,1.3,4.2,10.7,21.5
11,82.5,220,82.0,27.0,13,11,15,6,12,12,7,10,7,5,10,13,15,6,10,14.85,5.825,10.599,0.565,0.325,0.951,0.342,5.499,9.649,0.57,2.872,4.15,0.692,2.201,6.724,8.925,0.275,1.45,1.125,1.125,2.975,5.725,5.294,10.097,0.098,3.451,0.15,0.199,0.754,4.901,8.525,0.575,0.449,0.924,0.486,55.652,55.333,8.848,4.35,8.375,0.528,0.149,0.399,0.373,4.202,7.978,0.527,0.2,0.449,0.445,3.775,7.049,0.536,0.223,0.476,0.468,2.0,0.5,2.5,0.598,0.09,0.392,8.4,27.3,17.6,1.7,2.6,4.0,8.3,21.8
12,80.5,210,85.25,37.5,9,7,7,5,13,13,9,13,6,12,6,7,8,7,11,6.099,2.46,5.514,0.466,0.22,0.828,0.266,2.245,4.682,0.479,0.952,1.463,0.651,1.145,3.417,4.562,0.147,0.244,0.928,0.682,1.024,-2.612,6.784,4.0,0.146,1.463,0.047,0.074,0.635,1.927,3.95,0.488,0.244,0.66,0.37,32.561,32.455,6.146,2.975,6.245,0.492,0.195,0.582,0.335,2.781,5.658,0.492,0.315,0.488,0.645,2.294,4.805,0.477,0.171,0.366,0.467,-0.6,-0.5,-1.1,0.495,0.15,0.265,6.8,22.1,14.1,1.5,0.7,5.0,10.0,18.5
13,76.5,225,81.25,27.0,16,16,10,13,10,14,4,17,8,14,6,17,10,5,11,13.83,5.389,10.317,0.539,0.34,0.975,0.349,5.05,9.343,0.541,2.706,3.463,0.781,2.269,5.61,7.879,0.561,0.439,0.488,1.145,2.537,1.39,6.086,8.829,0.05,2.439,0.074,0.121,0.612,4.34,7.978,0.544,0.635,1.244,0.51,51.084,51.19,7.536,3.681,7.536,0.5,0.171,0.683,0.25,3.512,6.856,0.512,0.293,0.659,0.445,2.831,5.414,0.523,0.39,0.78,0.5,2.0,0.4,2.4,0.584,0.095,0.336,8.7,23.7,15.8,4.0,0.9,1.7,8.8,22.5
14,80.5,235,88.0,28.5,13,10,12,12,12,11,9,7,11,8,12,13,8,14,12,17.37,6.827,11.043,0.618,0.0,0.044,0.0,6.827,11.0,0.621,3.715,4.784,0.777,2.262,7.042,9.304,0.609,0.956,1.412,1.219,2.868,17.065,2.346,13.479,0.045,3.587,0.021,0.066,0.318,6.694,10.697,0.626,0.088,0.238,0.37,50.178,49.925,7.304,3.612,7.848,0.466,0.088,0.456,0.193,3.523,7.391,0.477,0.216,0.367,0.589,3.11,6.673,0.466,0.194,0.349,0.556,4.1,2.1,6.2,0.661,0.004,0.433,10.4,30.7,20.9,4.0,1.9,5.9,8.5,25.5
15,83.0,210,90.0,29.0,15,10,14,10,12,15,13,14,12,7,10,11,14,16,13,17.002,6.703,11.272,0.596,0.021,0.067,0.313,6.68,11.205,0.596,3.568,4.887,0.73,1.91,7.704,9.614,0.795,1.636,1.75,1.569,2.774,8.955,3.362,12.865,0.091,3.865,0.046,0.046,1.0,6.383,10.544,0.605,0.248,0.613,0.405,61.517,61.883,7.455,3.658,8.614,0.433,0.136,0.364,0.374,3.522,8.25,0.427,0.25,0.614,0.407,3.068,7.204,0.426,0.204,0.433,0.471,2.2,2.3,4.4,0.633,0.006,0.434,7.2,27.9,17.8,4.4,2.6,5.4,10.5,22.1
16,81.0,210,83.0,33.0,18,8,9,11,15,9,9,8,7,11,6,9,11,12,10,18.5,7.924,12.8,0.619,0.0,0.0,,7.924,12.8,0.619,2.651,4.174,0.635,2.001,7.627,9.628,0.4,1.278,0.849,1.625,3.099,7.7,3.526,15.501,0.051,3.001,0.099,0.099,1.0,7.626,12.151,0.628,0.174,0.551,0.316,57.135,57.321,9.299,4.523,8.674,0.536,0.25,0.702,0.356,4.275,7.974,0.536,0.15,0.327,0.459,3.775,6.851,0.551,0.351,0.8,0.439,2.4,0.9,3.2,0.632,0.0,0.326,7.8,29.7,18.8,2.4,2.2,2.7,10.0,25.6
17,78.0,215,84.25,30.0,12,9,11,6,7,4,9,12,4,5,7,12,4,8,10,12.975,5.155,10.411,0.506,0.23,1.104,0.208,4.922,9.307,0.529,2.435,3.385,0.719,1.512,5.822,7.334,0.308,1.026,0.178,1.896,2.797,-1.718,5.501,8.563,0.0,2.949,0.052,0.078,0.667,4.23,7.718,0.548,0.64,1.513,0.423,52.534,52.783,9.974,4.922,8.411,0.593,0.127,0.643,0.198,4.795,7.77,0.617,0.308,0.513,0.6,4.129,6.592,0.626,0.358,0.665,0.538,-0.4,-1.1,-1.5,0.545,0.106,0.325,6.1,23.6,14.8,2.3,1.9,0.6,13.7,23.5
18,78.0,225,84.0,30.5,10,9,10,7,17,9,8,14,5,12,14,9,7,11,11,8.074,3.147,6.366,0.5,0.073,0.268,0.272,3.073,6.096,0.504,1.708,2.61,0.654,1.707,5.268,6.975,0.537,0.707,0.537,1.39,1.877,-4.757,3.432,5.708,0.0,2.121,0.121,0.219,0.553,2.731,5.294,0.516,0.219,0.586,0.374,36.441,36.524,6.412,3.195,5.607,0.572,0.022,0.171,0.129,3.17,5.438,0.583,0.416,0.659,0.631,2.513,4.366,0.576,0.245,0.415,0.59,-0.1,0.7,0.6,0.537,0.042,0.41,10.3,30.2,20.5,5.6,1.9,2.6,15.6,21.6
19,82.0,245,86.0,31.0,18,14,13,6,8,9,12,10,7,7,13,15,8,9,11,17.999,7.275,13.526,0.556,0.5,1.873,0.267,6.776,11.651,0.582,2.951,3.602,0.819,1.775,6.599,8.374,0.3,0.426,1.473,1.526,2.751,-3.274,5.077,12.301,0.051,2.951,0.023,0.05,0.46,6.1,10.15,0.601,0.624,1.451,0.43,55.59,55.545,11.0,5.325,10.374,0.53,0.349,1.125,0.31,4.976,9.25,0.538,0.426,0.649,0.656,4.301,8.0,0.538,0.25,0.599,0.417,1.8,2.1,3.9,0.596,0.138,0.266,7.9,25.5,17.3,2.2,0.8,4.8,9.2,27.6
20,84.0,245,87.25,31.0,15,14,11,9,16,6,10,7,11,12,8,17,6,11,12,16.695,6.501,10.391,0.626,0.0,0.045,0.0,6.501,10.349,0.628,3.695,4.979,0.742,2.195,7.74,9.935,0.435,1.129,0.935,1.39,3.107,14.543,2.707,12.608,0.045,3.63,0.0,0.021,0.0,6.261,9.933,0.63,0.198,0.391,0.506,58.14,58.424,10.197,5.023,9.348,0.545,0.151,0.435,0.347,4.87,8.913,0.546,0.326,0.457,0.713,4.282,8.044,0.532,0.26,0.412,0.631,2.7,0.5,3.2,0.663,0.004,0.479,8.6,30.3,19.5,2.3,1.9,2.9,9.9,21.7
21,80.5,255,79.0,32.5,13,12,11,9,10,8,11,13,9,7,6,13,13,12,12,16.098,6.658,12.122,0.566,0.414,0.879,0.471,6.245,11.244,0.555,2.367,4.098,0.578,2.072,6.294,8.366,0.611,0.416,1.171,1.314,2.78,-5.366,5.335,11.413,0.294,3.243,0.097,0.147,0.66,5.611,9.781,0.574,0.533,1.319,0.404,54.822,54.5,9.269,4.56,9.122,0.508,0.146,0.438,0.333,4.413,8.683,0.508,0.292,0.755,0.387,3.977,7.608,0.523,0.146,0.316,0.462,2.1,0.1,2.3,0.578,0.073,0.338,8.4,24.7,16.7,4.4,0.8,4.0,8.6,25.1
22,78.0,235,82.0,25.0,14,13,12,12,11,13,6,8,11,9,11,15,4,7,11,12.195,4.512,8.22,0.561,0.194,0.536,0.362,4.317,7.683,0.562,2.975,3.926,0.758,2.243,6.613,8.856,0.489,0.755,0.659,0.805,2.635,6.608,4.172,8.146,0.195,3.048,0.022,0.022,1.0,4.051,7.073,0.573,0.243,0.586,0.415,49.744,49.615,7.879,3.829,7.073,0.557,0.219,0.488,0.449,3.61,6.584,0.548,0.366,0.682,0.537,2.999,5.293,0.567,0.243,0.611,0.398,2.5,0.7,3.2,0.613,0.065,0.478,9.5,27.6,18.6,3.2,1.5,2.5,7.5,19.1
23,82.5,275,86.0,28.0,17,12,8,10,18,11,5,5,9,10,4,13,6,11,10,17.166,6.857,11.356,0.605,0.021,0.049,0.429,6.832,11.308,0.604,3.426,4.451,0.77,3.786,9.57,13.356,0.428,0.475,1.691,1.38,3.501,-0.072,2.714,13.381,0.049,3.643,0.0,0.049,0.0,6.643,10.809,0.615,0.141,0.452,0.312,64.766,64.145,9.976,4.881,9.975,0.5,0.214,0.668,0.32,4.666,9.307,0.501,0.332,0.524,0.634,3.931,7.952,0.494,0.405,0.833,0.486,2.8,1.9,4.7,0.645,0.004,0.392,11.5,33.0,21.5,2.4,0.7,4.7,9.4,20.1
24,80.5,235,85.0,28.0,7,14,13,5,6,9,5,19,5,11,14,15,10,8,10,11.878,4.22,8.659,0.566,1.367,3.269,0.418,2.854,5.39,0.529,2.074,2.488,0.834,1.585,5.075,6.66,0.684,1.292,0.535,0.754,2.708,10.733,11.633,3.951,0.05,2.267,0.121,0.293,0.413,1.855,3.27,0.567,0.879,1.829,0.481,49.953,49.9,6.683,3.194,7.415,0.45,0.292,1.122,0.26,2.901,6.292,0.461,0.196,0.341,0.575,2.512,5.194,0.484,0.195,0.756,0.258,2.0,0.9,2.9,0.609,0.378,0.287,6.5,23.3,14.4,4.4,2.6,2.0,7.2,18.9
25,79.5,220,86.25,28.5,16,12,11,5,15,7,7,8,11,6,6,16,7,16,11,18.732,7.559,13.313,0.58,0.318,1.072,0.297,7.244,12.244,0.592,3.292,4.489,0.733,1.95,8.294,10.244,0.171,0.658,1.124,1.243,2.389,6.342,4.446,13.512,0.096,3.366,0.0,0.023,0.0,6.733,11.024,0.611,0.488,1.195,0.408,46.124,47.246,7.049,3.488,8.049,0.438,0.073,0.293,0.249,3.414,7.754,0.44,0.073,0.488,0.15,3.047,6.611,0.461,0.292,0.658,0.444,4.0,3.6,7.6,0.613,0.081,0.337,10.8,35.3,24.6,1.8,1.4,4.5,7.5,32.5
26,81.0,240,83.0,28.5,15,13,6,9,15,16,8,16,4,7,13,13,5,15,11,17.219,6.707,12.144,0.565,0.317,1.024,0.31,6.39,11.121,0.575,3.489,4.66,0.749,2.854,9.072,11.926,0.44,1.122,1.416,1.561,3.073,2.757,4.529,11.221,0.096,3.244,0.05,0.097,0.515,5.512,9.171,0.601,0.781,1.854,0.421,61.434,61.761,8.097,3.806,8.002,0.506,0.488,1.12,0.436,3.316,6.879,0.482,0.195,0.267,0.73,2.758,5.294,0.521,0.365,1.317,0.277,2.0,2.3,4.3,0.607,0.084,0.384,10.1,31.8,20.9,2.5,1.8,4.7,9.9,23.0
27,82.0,255,87.25,29.5,7,12,7,10,17,8,13,17,7,11,11,13,11,13,11,8.15,3.106,6.743,0.483,0.297,0.998,0.298,2.809,5.746,0.489,1.641,2.045,0.802,1.871,5.896,7.767,0.724,0.658,0.488,1.296,2.191,3.296,6.267,4.724,0.276,1.553,0.042,0.108,0.389,2.32,4.489,0.517,0.446,1.149,0.388,45.427,45.559,8.278,4.087,7.235,0.572,0.106,0.403,0.263,3.978,6.831,0.582,0.319,0.532,0.6,3.469,5.808,0.597,0.191,0.49,0.39,-0.5,0.0,-0.5,0.533,0.148,0.303,9.1,28.6,18.9,4.8,1.4,2.0,14.5,17.7
28,83.0,275,88.0,24.5,9,6,15,9,17,11,6,9,10,10,14,6,12,9,10,12.874,5.449,9.076,0.617,0.299,0.824,0.363,5.151,8.249,0.624,1.675,3.423,0.489,2.376,7.823,10.199,1.099,0.6,0.8,1.65,2.199,5.726,4.22,9.748,0.051,3.1,0.301,0.45,0.669,4.55,7.249,0.628,0.276,0.55,0.502,47.108,47.416,6.925,3.4,6.75,0.513,0.125,0.324,0.386,3.277,6.425,0.51,0.223,0.451,0.494,2.65,5.175,0.512,0.399,0.799,0.499,2.2,2.6,4.8,0.608,0.091,0.377,10.5,34.0,22.3,8.6,1.3,3.1,13.5,23.1
29,77.0,210,77.0,29.5,14,14,18,11,12,15,6,9,7,9,14,15,17,15,13,16.578,6.178,10.843,0.598,0.622,1.334,0.466,5.556,9.511,0.584,3.599,4.713,0.764,3.089,8.333,11.422,0.686,1.534,1.201,1.356,2.444,14.487,5.355,9.957,0.045,3.333,0.332,0.467,0.711,4.622,7.867,0.588,0.576,1.177,0.489,61.84,61.721,7.845,3.734,9.51,0.413,0.378,1.22,0.31,3.356,8.288,0.405,0.266,0.555,0.479,2.691,6.511,0.413,0.4,1.223,0.327,2.7,2.7,5.4,0.642,0.123,0.435,11.1,28.8,20.2,3.6,2.5,3.7,9.5,20.7
30,80.0,225,84.0,31.5,9,12,8,10,8,14,8,16,12,12,9,15,8,14,11,9.537,3.899,7.283,0.537,0.024,0.024,1.0,3.871,7.253,0.534,1.72,2.538,0.678,2.615,6.514,9.129,1.0,1.463,0.948,0.975,2.284,13.461,2.438,7.59,0.0,2.051,0.024,0.024,1.0,3.745,7.05,0.531,0.077,0.178,0.433,53.659,53.718,7.797,3.848,8.589,0.454,0.101,0.462,0.219,3.745,8.128,0.461,0.334,0.589,0.567,3.102,6.795,0.457,0.309,0.743,0.416,1.0,1.5,2.5,0.568,0.003,0.348,10.1,25.6,17.8,5.6,2.7,3.3,10.4,15.4
31,80.5,240,80.0,29.5,7,10,15,14,14,8,6,14,7,13,4,11,11,14,11,11.583,4.416,9.221,0.503,0.446,1.863,0.239,3.972,7.362,0.54,2.305,3.167,0.728,3.085,7.888,10.973,0.888,1.055,1.056,1.777,2.917,0.498,6.827,6.555,0.0,2.472,0.027,0.055,0.491,3.222,5.944,0.542,0.696,1.361,0.511,55.84,55.912,9.0,4.417,9.501,0.474,0.166,0.779,0.213,4.252,8.723,0.487,0.222,0.553,0.401,3.778,7.529,0.502,0.248,0.641,0.387,0.4,1.7,2.1,0.546,0.202,0.343,11.4,30.1,20.6,5.2,1.9,3.5,14.3,19.7
32,78.0,230,83.0,30.0,13,10,11,11,12,9,7,5,12,13,16,10,16,8,11,13.586,5.246,9.488,0.559,0.121,0.342,0.354,5.123,9.147,0.56,2.975,4.976,0.598,1.78,6.757,8.537,0.828,0.389,1.902,1.221,2.78,1.633,3.585,10.099,0.05,3.707,0.364,0.512,0.711,4.683,8.293,0.565,0.073,0.341,0.214,57.505,57.078,9.172,4.512,10.145,0.452,0.146,0.488,0.299,4.365,9.659,0.452,0.195,0.586,0.333,3.879,8.61,0.451,0.291,0.463,0.629,1.5,0.9,2.4,0.582,0.036,0.524,6.7,23.7,15.5,5.0,0.7,5.9,9.5,20.4
33,82.0,240,89.0,26.5,15,10,6,9,17,15,6,15,14,7,6,11,10,13,12,16.34,6.391,10.807,0.591,0.0,0.0,,6.391,10.807,0.591,3.561,4.781,0.745,2.44,8.927,11.367,0.704,1.023,1.464,1.659,3.316,1.561,2.881,12.635,0.05,3.585,0.0,0.0,,6.318,10.487,0.602,0.073,0.318,0.23,60.676,60.34,8.682,4.171,8.268,0.525,0.342,0.704,0.486,3.828,7.56,0.506,0.218,0.488,0.447,3.391,6.708,0.506,0.218,0.366,0.596,2.0,1.9,3.9,0.633,0.0,0.442,8.4,33.8,20.6,4.3,1.7,4.8,11.4,21.6
34,83.0,235,86.25,30.0,6,12,8,6,10,13,9,14,8,6,12,14,8,12,11,9.798,3.699,7.101,0.533,0.175,0.574,0.305,3.524,6.525,0.54,2.223,2.874,0.773,1.977,6.449,8.426,0.952,0.673,1.1,1.275,2.801,-1.374,4.824,6.1,0.0,2.552,0.15,0.222,0.676,2.9,5.324,0.545,0.475,0.976,0.487,55.479,55.375,8.249,4.025,8.798,0.469,0.199,0.426,0.467,3.824,8.374,0.457,0.574,1.074,0.534,3.151,6.927,0.455,0.098,0.377,0.26,0.4,1.0,1.4,0.586,0.081,0.405,7.6,23.9,15.9,5.5,1.2,3.6,13.2,15.6
35,72.0,170,77.0,40.0,9,9,14,10,4,5,10,14,8,13,7,10,4,10,10,4.537,1.707,3.56,0.504,0.171,0.439,0.39,1.538,3.123,0.492,0.952,1.39,0.685,0.731,2.345,3.076,0.316,0.367,0.488,1.051,2.243,-4.925,5.84,2.733,0.0,1.66,0.023,0.023,1.0,1.341,2.73,0.491,0.17,0.366,0.464,30.223,30.283,7.172,3.561,5.831,0.615,0.049,0.195,0.251,3.513,5.635,0.623,0.366,0.684,0.535,2.929,4.634,0.632,0.22,0.317,0.694,-1.8,-3.6,-5.4,0.544,0.123,0.39,5.2,17.3,11.1,3.5,1.2,2.7,20.1,15.7
36,80.0,200,87.0,35.0,16,13,8,11,5,7,5,11,13,9,7,14,6,13,10,14.155,5.436,8.897,0.611,0.0,0.0,,5.436,8.897,0.611,3.284,4.256,0.772,1.129,4.742,5.871,0.488,1.077,1.359,1.563,3.18,5.818,2.976,10.667,0.052,3.514,0.051,0.051,1.0,5.28,8.513,0.62,0.102,0.333,0.306,47.026,47.122,9.051,4.409,9.025,0.501,0.23,0.692,0.332,4.179,8.334,0.501,0.307,0.538,0.571,3.59,7.307,0.491,0.282,0.487,0.579,2.0,-0.8,1.2,0.657,0.0,0.478,5.4,21.1,13.5,3.9,2.3,5.1,12.7,23.5
37,81.5,210,85.25,29.5,9,12,9,11,10,13,9,9,10,12,5,14,10,5,12,6.112,2.366,4.546,0.543,0.205,0.433,0.473,2.158,4.114,0.525,1.178,1.75,0.673,0.773,3.344,4.117,0.455,0.477,0.748,0.908,1.158,3.319,6.408,3.772,0.0,1.501,0.0,0.0,,1.887,3.296,0.573,0.272,0.818,0.333,37.407,37.743,4.726,2.341,5.273,0.448,0.047,0.25,0.188,2.295,5.021,0.457,0.274,0.502,0.546,1.886,4.137,0.456,0.136,0.386,0.352,-0.7,0.5,-0.2,0.575,0.095,0.385,4.9,19.7,12.5,3.4,1.3,3.8,14.6,15.1
38,81.0,225,82.25,29.5,18,13,10,10,16,13,8,8,7,11,13,15,6,15,12,18.08,7.263,12.946,0.561,0.0,0.08,0.0,7.263,12.868,0.564,3.551,4.527,0.784,2.158,8.948,11.106,0.579,0.842,1.104,1.658,2.474,4.476,3.166,13.895,0.053,3.553,0.079,0.104,0.76,6.842,11.893,0.575,0.316,0.869,0.364,59.161,59.476,7.604,3.763,8.262,0.46,0.079,0.527,0.15,3.683,7.738,0.476,0.368,0.791,0.465,3.131,6.422,0.488,0.183,0.526,0.348,2.2,2.9,5.0,0.605,0.006,0.35,8.7,31.6,20.9,3.5,1.4,3.6,10.0,26.0
39,81.5,215,88.0,24.0,14,13,8,9,8,9,8,6,9,9,6,15,7,13,10,12.926,5.172,9.343,0.559,0.098,0.34,0.288,5.072,8.999,0.564,2.489,3.903,0.638,1.512,5.733,7.245,0.415,0.827,0.708,1.928,3.511,-4.122,4.212,9.512,0.05,2.901,0.0,0.0,,4.756,8.34,0.57,0.318,0.659,0.483,54.417,54.086,10.707,5.317,8.879,0.603,0.073,0.316,0.231,5.245,8.561,0.613,0.415,0.586,0.708,4.609,7.44,0.619,0.22,0.539,0.408,-0.1,-1.6,-1.7,0.584,0.036,0.418,5.7,23.8,14.3,2.8,1.5,2.4,14.8,21.5
40,78.5,230,79.0,35.0,15,8,8,11,7,15,6,8,14,6,12,8,15,13,10,11.251,4.499,8.431,0.535,0.021,0.047,0.447,4.479,8.387,0.534,2.227,4.227,0.527,2.908,5.888,8.796,1.293,1.682,1.116,1.227,3.022,3.09,3.416,8.454,0.137,3.296,0.273,0.364,0.75,3.954,7.682,0.515,0.25,0.34,0.735,68.355,67.949,9.069,4.319,9.295,0.488,0.432,1.205,0.359,3.886,8.092,0.48,0.273,0.387,0.705,3.159,6.635,0.476,0.454,1.067,0.425,0.6,0.0,0.6,0.547,0.006,0.501,8.8,19.2,13.8,5.9,2.5,3.1,10.7,15.0
