team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
175,2046,College,team,22,13,41,200.61,88.414,32.023,72.294,0.5,8.316,24.44,0.34,23.708,47.854,0.495,16.047,21.683,0.74,9.098,24.682,33.78,14.634,6.928,1.901,12.903,19.389,-60.732,10.685,31.511,7.51,18.267,3.854,6.368,0.605,11.902,23.22,0.513,7.951,18.268,0.435,85.637,0.5,-8.2,-7.7,0.7,-1.5,-0.8,0.54,0.338,0.3,103.2,-15.5,13.6,0.222,21.7,68.6,0.539,0.483,86.50684,0.356
176,2044,College,team,46,11,41,200.0,63.268,23.88,53.122,0.497,5.002,14.804,0.338,18.88,38.318,0.493,10.512,16.389,0.641,7.196,21.902,29.098,10.173,5.78,2.389,14.269,15.389,-51.706,10.003,25.123,6.049,14.12,2.901,4.1,0.708,9.658,18.538,0.521,6.316,15.683,0.403,67.402,-4.9,-3.7,-8.6,-3.8,-2.9,-6.7,0.524,0.279,0.309,93.9,-15.6,19.1,0.198,22.7,69.9,,,68.06172,0.397
176,2045,College,team,46,8,41,200.0,66.488,24.806,57.366,0.497,7.439,21.292,0.349,17.366,36.073,0.481,9.439,13.684,0.69,7.707,22.586,30.293,10.268,5.317,2.465,15.829,15.708,-75.366,11.851,21.415,5.902,13.635,1.853,2.755,0.673,8.853,17.464,0.507,6.66,15.856,0.42,71.517,-6.8,-6.5,-13.3,-1.8,-1.7,-3.5,0.524,0.371,0.239,93.0,-21.6,20.0,0.165,22.5,72.2,0.492,0.411,72.05632,0.322
176,2046,College,team,46,14,41,200.61,69.633,27.145,59.099,0.509,5.927,17.831,0.332,21.22,41.267,0.514,9.415,13.683,0.688,7.538,25.269,32.807,11.732,6.389,3.269,14.511,15.441,-26.462,9.703,29.561,7.1,12.948,2.61,3.926,0.665,12.146,22.073,0.55,6.44,15.269,0.422,72.097,-5.2,-0.2,-5.4,-1.4,-0.1,-1.5,0.535,0.302,0.232,96.6,-6.8,18.2,0.159,22.7,74.0,0.495,0.46,72.63984,0.425
177,2044,College,team,24,22,42,201.19,74.668,27.808,59.57,0.529,7.452,20.785,0.359,20.355,38.784,0.525,11.595,16.668,0.696,7.095,25.642,32.737,14.5,6.309,3.381,13.499,14.43,-10.0,9.902,30.332,7.118,14.739,2.309,3.142,0.735,12.858,23.262,0.553,5.191,12.382,0.419,73.313,-0.7,0.2,-0.5,-0.4,0.2,-0.2,0.558,0.349,0.28,101.8,-2.8,16.8,0.195,21.2,73.1,,,73.97464,0.406
177,2045,College,team,24,13,41,201.22,69.22,25.099,56.635,0.507,7.269,19.952,0.364,17.829,36.683,0.486,11.756,16.78,0.701,6.633,23.781,30.414,11.293,5.659,2.39,14.734,16.706,-57.195,10.596,25.608,6.269,15.073,2.855,4.073,0.701,9.927,19.099,0.52,5.024,13.512,0.372,72.113,-4.3,-5.0,-9.4,-0.7,-0.9,-1.6,0.541,0.352,0.296,96.0,-15.0,18.7,0.208,19.9,70.6,0.524,0.462,72.7904,0.37
177,2046,College,team,49,17,43,200.0,69.211,25.465,56.652,0.501,5.816,17.653,0.329,19.65,39.001,0.504,12.467,17.745,0.703,7.975,25.305,33.28,10.65,5.93,2.814,14.931,15.953,-31.513,10.269,26.743,5.535,15.698,2.907,4.395,0.661,10.441,19.58,0.533,6.281,15.024,0.418,71.414,-3.0,-2.0,-5.0,-1.0,-0.7,-1.7,0.537,0.312,0.313,96.9,-8.8,18.8,0.22,23.9,74.9,0.485,0.458,72.1256,0.386
178,2044,College,team,13,20,42,200.595,81.573,30.667,63.812,0.533,6.69,18.951,0.353,23.977,44.857,0.535,13.547,19.641,0.69,8.548,27.714,36.262,16.432,7.07,4.167,14.215,14.763,-6.786,8.139,40.524,8.881,15.765,2.643,3.499,0.755,17.596,32.309,0.545,3.715,9.046,0.411,78.117,1.2,0.7,1.8,1.8,1.5,3.3,0.563,0.297,0.308,104.4,-1.7,16.4,0.212,24.1,76.9,,,78.90668,0.497
178,2045,College,team,13,19,44,201.137,79.362,30.25,63.773,0.52,5.886,17.591,0.335,24.364,46.182,0.528,12.978,19.092,0.68,7.886,29.774,37.66,15.796,7.455,3.681,14.75,16.115,-6.366,8.084,40.092,8.205,15.522,3.16,3.863,0.818,16.886,31.819,0.531,4.319,10.502,0.411,79.038,-1.4,1.3,-0.1,0.6,1.3,1.9,0.55,0.276,0.299,100.4,-1.9,17.0,0.204,21.9,79.7,0.565,0.53,79.80116,0.505
178,2046,College,team,27,28,43,200.581,81.675,30.953,65.745,0.527,7.42,21.023,0.353,23.535,44.722,0.526,12.349,18.909,0.653,10.302,28.489,38.791,15.49,8.933,3.187,12.371,14.349,50.931,8.878,38.14,8.16,15.302,2.28,2.952,0.772,16.769,30.929,0.542,4.465,10.837,0.412,76.135,3.1,7.2,10.2,0.9,1.9,2.8,0.551,0.32,0.288,107.3,13.6,14.3,0.188,27.5,78.8,0.51,0.556,76.89032,0.467
