team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
41,2044,College,opponent,3,31,41,200.0,88.61,33.512,63.683,0.574,6.072,17.074,0.356,27.437,46.61,0.589,15.512,21.561,0.719,9.243,26.732,35.975,16.706,9.901,3.416,12.805,14.342,74.757,7.959,44.536,8.928,16.999,3.83,5.147,0.744,18.416,29.389,0.627,5.17,12.072,0.428,76.734,,,,,,,0.606,0.268,0.339,115.5,,14.9,0.244,,,,,77.59428,0.503
41,2045,College,opponent,6,23,41,200.0,84.804,31.828,64.659,0.543,6.585,19.438,0.339,25.243,45.22,0.558,14.561,20.268,0.718,8.634,28.195,36.829,15.099,8.39,3.462,12.439,14.22,33.416,8.657,39.465,9.633,16.707,4.072,5.463,0.745,15.66,25.926,0.604,5.511,13.83,0.398,77.385,,,,,,,0.576,0.301,0.313,109.6,,14.5,0.225,,,,,78.19264,0.465
41,2046,College,opponent,12,22,41,200.0,81.78,29.901,64.17,0.523,7.294,21.683,0.336,22.611,42.489,0.532,14.683,20.194,0.727,8.951,28.877,37.828,14.975,6.099,4.146,13.927,17.194,-6.83,9.597,33.169,8.196,16.537,3.292,4.733,0.696,13.293,22.925,0.58,6.021,14.828,0.406,78.035,,,,,,,0.56,0.338,0.315,104.8,,16.0,0.229,,,,,78.83912,0.406
42,2044,College,opponent,27,11,42,200.595,77.333,28.834,61.213,0.529,7.144,20.31,0.352,21.691,40.904,0.53,12.522,17.499,0.716,7.452,25.478,32.93,13.309,4.811,2.192,15.739,17.336,-56.905,10.34,30.76,5.524,15.929,2.832,4.19,0.676,12.524,22.715,0.551,6.309,13.999,0.451,77.2,,,,,,,0.561,0.332,0.286,100.2,,18.6,0.205,,,,,77.89952,0.398
42,2045,College,opponent,13,9,42,200.595,79.595,29.952,62.191,0.547,8.094,21.38,0.379,21.858,40.809,0.536,11.596,16.475,0.704,6.736,24.002,30.738,14.762,5.761,2.573,15.476,16.714,-49.879,10.167,31.429,7.357,15.189,3.143,4.427,0.71,12.548,22.475,0.558,6.143,13.906,0.442,78.177,,,,,,,0.573,0.344,0.265,101.8,,18.2,0.186,,,,,78.839,0.395
42,2046,College,opponent,6,29,41,200.0,86.462,32.707,62.683,0.576,6.805,19.023,0.358,25.903,43.66,0.593,14.244,20.243,0.704,7.145,25.854,32.999,15.634,10.39,3.17,10.854,13.78,62.925,9.197,37.512,9.292,16.39,3.901,5.611,0.695,14.853,23.756,0.625,7.147,14.293,0.5,75.299,,,,,,,0.604,0.303,0.323,114.8,,13.2,0.227,,,,,76.10864,0.434
43,2044,College,opponent,44,16,48,201.042,69.334,25.771,58.187,0.503,7.04,20.856,0.338,18.731,37.333,0.502,10.752,15.44,0.696,8.435,26.233,34.668,11.813,4.312,3.229,17.209,16.206,-52.5,10.339,27.043,6.562,14.502,2.54,3.646,0.697,10.98,20.706,0.53,5.208,12.978,0.401,73.745,,,,,,,0.533,0.358,0.265,94.0,,20.9,0.185,,,,,74.3722,0.39
43,2045,College,opponent,44,4,45,200.0,63.667,23.999,55.734,0.483,5.8,17.91,0.324,18.201,37.822,0.481,9.866,14.154,0.697,8.246,25.288,33.534,11.066,3.266,3.201,18.446,17.245,-107.443,9.779,27.199,5.821,14.045,2.424,3.2,0.757,11.18,21.778,0.513,4.602,12.844,0.358,72.167,,,,,,,0.514,0.321,0.254,88.2,,22.9,0.177,,,,,72.72792,0.427
43,2046,College,opponent,22,13,45,201.111,74.267,26.999,61.177,0.498,6.979,19.934,0.35,20.023,41.244,0.485,13.288,18.667,0.712,8.29,25.155,33.445,12.555,4.867,2.911,14.534,16.021,-59.335,10.011,30.089,7.377,16.199,2.755,4.199,0.656,12.267,24.419,0.502,4.98,12.622,0.395,75.638,,,,,,,0.535,0.326,0.305,98.2,,17.3,0.217,,,,,76.38116,0.405
44,2044,College,opponent,17,14,43,200.581,67.28,24.395,55.72,0.497,6.603,20.069,0.329,17.791,35.653,0.499,11.883,16.884,0.704,7.187,25.696,32.883,11.254,5.441,3.397,16.65,16.185,-52.21,10.459,25.255,6.347,14.698,2.767,4.094,0.676,9.861,18.604,0.53,5.165,12.955,0.399,72.615,,,,,,,0.533,0.36,0.303,92.7,,20.9,0.213,,,,,73.28732,0.375
44,2045,College,opponent,17,36,41,200.609,90.877,33.585,64.342,0.59,8.757,21.706,0.403,24.828,42.634,0.582,14.95,20.683,0.723,11.17,29.976,41.146,15.658,8.512,3.852,12.828,15.902,126.342,9.479,38.194,10.0,16.828,3.706,4.78,0.775,15.391,24.487,0.629,5.73,13.367,0.429,75.11,,,,,,,0.619,0.337,0.321,121.0,,14.9,0.232,,,,,75.92784,0.42
44,2046,College,opponent,35,37,41,200.0,84.001,30.612,59.366,0.576,7.146,17.902,0.399,23.463,41.463,0.566,15.634,22.146,0.706,9.61,23.122,32.732,13.634,10.658,1.733,9.319,11.926,126.83,9.249,35.171,7.877,17.244,3.877,5.61,0.691,13.683,22.707,0.603,5.879,13.147,0.447,68.82,,,,,,,0.608,0.302,0.373,122.1,,11.9,0.263,,,,,69.70508,0.419
45,2044,College,opponent,10,32,42,200.0,81.523,30.928,64.668,0.539,7.81,20.905,0.374,23.119,43.762,0.528,11.859,17.287,0.686,10.021,25.574,35.595,13.667,8.023,2.475,10.094,13.595,52.262,9.35,35.428,7.904,15.309,3.855,5.571,0.692,13.857,23.691,0.585,5.404,14.499,0.373,72.352,,,,,,,0.564,0.323,0.267,112.7,,12.3,0.183,,,,,73.03876,0.435
45,2045,College,opponent,20,24,41,201.219,89.975,33.828,69.122,0.55,8.439,22.732,0.371,25.391,46.39,0.547,13.878,20.121,0.69,9.509,27.807,37.316,16.05,7.219,2.854,11.388,16.977,28.78,9.42,38.096,9.537,16.927,4.268,5.561,0.767,14.732,26.05,0.566,6.343,14.782,0.429,79.85,,,,,,,0.577,0.329,0.291,112.7,,12.7,0.201,,,,,80.65908,0.423
45,2046,College,opponent,40,11,45,200.0,76.577,28.979,64.4,0.508,7.443,21.066,0.353,21.532,43.332,0.497,11.179,16.755,0.667,7.712,24.533,32.245,12.999,4.355,2.844,15.112,17.711,-93.333,10.344,30.133,5.932,14.687,3.754,5.31,0.707,11.289,21.934,0.515,6.465,16.088,0.402,79.174,,,,,,,0.533,0.327,0.26,96.7,,17.4,0.174,,,,,79.8424,0.393
